coin,date,price_usd,market_cap_usd,volume_24h_usd
bitcoin,2025-06-02,105710.00593822816,2101178071590.9749,17721500507.53389
bitcoin,2025-06-03,105884.74263221149,2104229403094.936,26313843058.73954
bitcoin,2025-06-04,105434.47745144971,2095294001281.4797,25925661121.080395
bitcoin,2025-06-05,104812.9182188067,2083148839111.2068,25812143562.797962
bitcoin,2025-06-06,101650.7387545425,2020294099992.3677,39711941132.0234
bitcoin,2025-06-07,104409.74967959142,2075175500201.4253,29897390978.090103
bitcoin,2025-06-08,105681.4546141758,2100553336902.5076,17749731308.73042
bitcoin,2025-06-09,105692.24740699006,2100654769399.4705,16044679696.270103
bitcoin,2025-06-10,110261.57485948496,2191877481230.9468,38222993297.50514
bitcoin,2025-06-11,110212.73252109604,2189350055406.3333,36303839182.734825
bitcoin,2025-06-12,108679.9760916168,2159529375273.4956,30338936631.626648
bitcoin,2025-06-13,105979.22902375912,2107911943768.2988,35865159511.38857
bitcoin,2025-06-14,106045.56440819203,2107973087547.7922,49471015505.74361
bitcoin,2025-06-15,105482.90611628917,2097486541223.27,17916412455.866283
bitcoin,2025-06-16,105554.49383061715,2098499110552.6216,16568441852.649668
bitcoin,2025-06-17,106951.2720181497,2127895470544.7178,32095957011.724205
bitcoin,2025-06-18,104683.42479835715,2080968120976.949,38603212010.889435
bitcoin,2025-06-19,104722.695052907,2081677732261.6853,30339326410.154945
bitcoin,2025-06-20,104690.65002458123,2081355279873.408,18063282658.152298
bitcoin,2025-06-21,103290.105144757,2054120245608.2085,30632751225.407444
bitcoin,2025-06-22,101532.5683847329,2017415966695.5278,21644463198.719532
bitcoin,2025-06-23,100852.58264648831,2005179769771.7349,51287142390.02526
bitcoin,2025-06-24,105511.62437933135,2097741233586.5918,50011797128.6837
bitcoin,2025-06-25,105976.06929808448,2107110352429.8032,31704641076.941063
bitcoin,2025-06-26,107238.53045016268,2132141147369.0017,30468274982.034847
bitcoin,2025-06-27,106984.01253775663,2127292099754.93,24320699663.15122
bitcoin,2025-06-28,107078.91560644074,2129020567385.9595,25194306261.888832
bitcoin,2025-06-29,107331.58548463577,2134239999929.6584,8960877693.57604
bitcoin,2025-06-30,108396.61631317894,2155183166489.813,14881078675.366829
