coin,date,price_usd,market_cap_usd,volume_24h_usd
ethereum,2025-07-01,2488.190781689803,300388851494.49866,16306915984.938057
ethereum,2025-07-02,2405.1045592800183,290294455719.4809,12933967031.524443
ethereum,2025-07-03,2574.067718495133,310930535640.4307,21862573614.17975
ethereum,2025-07-04,2590.132231590221,312621047413.045,19823369642.62606
ethereum,2025-07-05,2509.236345783362,302827514359.61035,16377116416.187033
ethereum,2025-07-06,2517.37917835065,304028836772.5733,6801276942.284494
ethereum,2025-07-07,2571.358192115984,310345645222.7514,9051659015.949968
ethereum,2025-07-08,2543.6317028067488,307013209348.5054,15947822897.049152
ethereum,2025-07-09,2615.7759888945047,315738597830.34283,14750377128.581295
ethereum,2025-07-10,2772.5795626609174,335050165487.70404,26626246774.244656
ethereum,2025-07-11,2948.4462027029053,355346738000.49475,39308824585.23128
ethereum,2025-07-12,2958.8514450990992,357144054434.9151,42455550664.554665
ethereum,2025-07-13,2942.9616055388096,355216449018.5163,17472135946.60354
ethereum,2025-07-14,2974.2654952333387,359110100026.3572,18605172049.087772
ethereum,2025-07-15,3012.1797069059276,363606274489.50854,41336421998.04408
ethereum,2025-07-16,3133.069857747011,378233206915.81635,43416230283.76601
ethereum,2025-07-17,3368.126521526108,406599729410.5382,54882159731.0286
ethereum,2025-07-18,3481.8828152374017,420347293649.25085,45678965280.66659
ethereum,2025-07-19,3547.317079001209,427841866746.5711,72535524453.98022
ethereum,2025-07-20,3594.3185010809702,433877664505.94135,27017909119.384834
ethereum,2025-07-21,3758.605581813957,453825859015.21515,55175056732.09093
ethereum,2025-07-22,3765.453624023574,454513156113.6638,47245582310.60992
ethereum,2025-07-23,3746.9406687316323,452355960897.77356,52357062545.19388
ethereum,2025-07-24,3630.053531480921,438111570682.8548,47655045407.89862
ethereum,2025-07-25,3708.4299352383423,447620332487.87305,47332291813.01175
ethereum,2025-07-26,3723.0529092785596,449379722345.43585,48622472830.12327
ethereum,2025-07-27,3742.4314258659915,451746443518.379,25352434514.72998
ethereum,2025-07-28,3864.1248374654765,466077664312.2753,26045280361.31318
ethereum,2025-07-29,3786.303845995956,457680388920.6686,38743589826.42135
ethereum,2025-07-30,3788.5983716058226,457213828532.1186,34923369443.87463
ethereum,2025-07-31,3807.4166010824188,459449027043.4022,28710848449.745983
ethereum,2025-07-31,3713.4132581527824,448366536345.81116,30102391711.280285
