coin,date,price_usd,market_cap_usd,volume_24h_usd
ripple,2025-07-01,2.2397868943055363,132156902495.55835,3688723731.503887
ripple,2025-07-02,2.171453605552325,128126705578.13293,2782662990.9534025
ripple,2025-07-03,2.234339504341481,131977600025.21939,3660413082.1301646
ripple,2025-07-04,2.2565985381225446,133259962343.86203,3456952710.4009995
ripple,2025-07-05,2.220660517934634,131144534229.89864,1759263909.260319
ripple,2025-07-06,2.2177115630108464,130972769052.7035,898181111.5827129
ripple,2025-07-07,2.2711234551626793,134151998248.59271,2334073292.9256063
ripple,2025-07-08,2.275084085302051,134350852686.02478,3876739211.500435
ripple,2025-07-09,2.3106154308712163,136497008281.73683,2680689161.887867
ripple,2025-07-10,2.405267395272407,142094073894.76715,4432186610.184976
ripple,2025-07-11,2.5456780481070833,150138989600.80466,5263609598.373313
ripple,2025-07-12,2.735777793849028,161862097553.51227,14004307576.909258
ripple,2025-07-13,2.7403085663356155,161796742917.52557,7635333692.640345
ripple,2025-07-14,2.836943449825265,167709014396.6901,6320439963.46504
ripple,2025-07-15,2.954285567242737,174691801800.57703,10642114059.840887
ripple,2025-07-16,2.917723690315136,172608862751.97787,7556524928.072073
ripple,2025-07-17,3.0408154279719146,179784902655.3871,7793207547.31447
ripple,2025-07-18,3.494535310837583,206790617970.8479,19394273607.04806
ripple,2025-07-19,3.417044710420229,202056421574.12247,16031012566.653502
ripple,2025-07-20,3.43091157808989,203036588057.2096,5783505866.425777
ripple,2025-07-21,3.455651421168503,204531521314.64954,7847665162.660737
ripple,2025-07-22,3.55629271011838,210472490159.30972,8362003947.111928
ripple,2025-07-23,3.5512409390828505,210230480631.16995,7908195545.8158
ripple,2025-07-24,3.1784172529582473,188186759786.34775,13257602437.964903
ripple,2025-07-25,3.1443151661109243,185920871104.63107,10402261389.142485
ripple,2025-07-26,3.1383147630505817,185810977838.7848,7590707148.3824
ripple,2025-07-27,3.167241692335099,187641581965.9033,3792391471.850104
ripple,2025-07-28,3.232752992185551,191396539707.53333,4272843726.2721925
ripple,2025-07-29,3.1234939366799126,184768043390.20883,7076691375.932294
ripple,2025-07-30,3.1280707477497427,185283974088.98334,5629285480.992563
ripple,2025-07-31,3.0996192442543777,183489681384.74945,6061881858.858245
ripple,2025-07-31,3.024095809817519,179539449627.4038,5094885630.338496
